chemical,protein,label
5056,ENSP00000368552,1
5959,ENSP00000358963,1
3304,ENSP00000310721,0
3008,ENSP00000273550,0
4369359,ENSP00000340943,0
13342,ENSP00000353731,0
2708,ENSP00000245312,0
1810907,ENSP00000011292,0
4536,ENSP00000260191,0
6291,ENSP00000323867,0
1613,ENSP00000431418,0
2154,ENSP00000282276,0
5584,ENSP00000380247,1
4736,ENSP00000011653,0
1117,ENSP00000258418,1
961,ENSP00000309477,1
305,ENSP00000378323,0
446155,ENSP00000296412,0
753,ENSP00000247207,1
54586,ENSP00000296511,0
446512,ENSP00000237014,0
4100,ENSP00000310935,0
2499,ENSP00000203407,0
6000,ENSP00000219054,0
2519,ENSP00000304501,1
3153,ENSP00000316339,0
54746,ENSP00000354859,1
5284627,ENSP00000285979,0
2169,ENSP00000305372,1
5453,ENSP00000280154,0
702,ENSP00000225740,1
2995,ENSP00000353731,0
16132429,ENSP00000371554,0
57242,ENSP00000405965,0
3017,ENSP00000362924,0
5282279,ENSP00000373674,0
2249,ENSP00000260985,0
65076,ENSP00000358022,0
6426631,ENSP00000305480,0
3675,ENSP00000363229,0
5504,ENSP00000221466,0
753,ENSP00000381717,1
2165,ENSP00000420914,0
864,ENSP00000215980,0
3290,ENSP00000298171,0
64715,ENSP00000363641,0
1117,ENSP00000361125,1
5280723,ENSP00000353770,0
3405,ENSP00000356920,0
2325,ENSP00000369960,1
3391,ENSP00000215587,0
681,ENSP00000265572,1
5709,ENSP00000353679,0
4477,ENSP00000333534,0
9642,ENSP00000261007,0
1117,ENSP00000366005,1
44404987,ENSP00000284440,0
5039,ENSP00000379680,0
5556,ENSP00000386029,1
6054,ENSP00000363019,0
122172,ENSP00000364361,0
6438355,ENSP00000433290,0
4122,ENSP00000264595,0
6380,ENSP00000435412,0
3325,ENSP00000362401,0
444,ENSP00000373715,0
82146,ENSP00000229135,0
3310,ENSP00000274547,0
4402,ENSP00000304501,1
3086686,ENSP00000386456,1
5001396,ENSP00000319060,0
501640,ENSP00000369960,0
3404,ENSP00000446743,0
54454,ENSP00000359693,0
838,ENSP00000277942,1
97272,ENSP00000364898,0
16133798,ENSP00000340943,1
4306515,ENSP00000332296,0
2548,ENSP00000384490,0
5282280,ENSP00000358511,1
5374,ENSP00000235521,0
864,ENSP00000354961,0
312,ENSP00000311032,1
158,ENSP00000333821,1
6466,ENSP00000305877,0
3675,ENSP00000280346,0
5311010,ENSP00000369519,0
5936,ENSP00000369519,0
1224,ENSP00000419851,0
60919,ENSP00000273430,1
4894,ENSP00000339740,0
3648,ENSP00000321070,0
108220,ENSP00000353770,0
753,ENSP00000215754,1
4425,ENSP00000222286,0
9826744,ENSP00000299847,0
4236,ENSP00000354728,0
6380,ENSP00000386069,0
3086686,ENSP00000455607,1
401133,ENSP00000318077,0
753,ENSP00000358414,1
3059,ENSP00000369530,0
5149021,ENSP00000360519,0
1117,ENSP00000348944,1
5761,ENSP00000276198,1
1071,ENSP00000302846,0
2216,ENSP00000356953,0
57363,ENSP00000299855,0
1548943,ENSP00000377192,0
3153,ENSP00000354859,1
4402,ENSP00000245960,0
5311,ENSP00000448165,0
5281071,ENSP00000296522,0
5329098,ENSP00000351885,0
2761,ENSP00000306490,1
312,ENSP00000332139,1
1205,ENSP00000370213,0
456201,ENSP00000309818,0
107706,ENSP00000262352,0
27991,ENSP00000222553,0
25476,ENSP00000333534,0
5281881,ENSP00000306129,1
1355,ENSP00000303423,0
3086685,ENSP00000308541,0
6089,ENSP00000356410,0
72172,ENSP00000324124,0
5314,ENSP00000407546,1
5284594,ENSP00000369530,0
836,ENSP00000337335,0
4748,ENSP00000320247,0
123970,ENSP00000409007,0
5983,ENSP00000296046,0
213043,ENSP00000216862,0
5122,ENSP00000261669,0
3494,ENSP00000263753,0
216239,ENSP00000241453,1
3692,ENSP00000327255,0
2913,ENSP00000364361,0
9815499,ENSP00000276198,1
2551,ENSP00000306490,1
702,ENSP00000420269,1
114683,ENSP00000267085,0
4296,ENSP00000367959,1
65019,ENSP00000226840,0
1089,ENSP00000260447,0
5283731,ENSP00000287820,0
311,ENSP00000225174,1
23932,ENSP00000286301,0
4429,ENSP00000336762,0
158,ENSP00000257254,1
2550,ENSP00000290866,1
16133831,ENSP00000312262,0
3689,ENSP00000347689,0
33624,ENSP00000268053,0
10267,ENSP00000298171,0
312,ENSP00000369100,1
23931,ENSP00000285379,1
6010,ENSP00000368226,0
54687,ENSP00000264690,0
951,ENSP00000358783,1
60961,ENSP00000292301,1
3295,ENSP00000278412,0
125017,ENSP00000304767,0
5771,ENSP00000414019,0
439260,ENSP00000352839,1
753,ENSP00000264613,1
5281081,ENSP00000367848,0
4829,ENSP00000232217,0
124886,ENSP00000219240,0
5280346,ENSP00000367934,1
16156130,ENSP00000219919,0
5137129,ENSP00000336764,1
2854,ENSP00000451605,0
153990,ENSP00000299847,0
57242,ENSP00000261890,0
3086686,ENSP00000341189,1
1065,ENSP00000368552,0
753,ENSP00000270142,1
1541,ENSP00000370526,0
311,ENSP00000235835,1
1117,ENSP00000296511,1
5454,ENSP00000373169,1
10280735,ENSP00000265294,0
3615,ENSP00000264832,0
667490,ENSP00000368727,1
3001055,ENSP00000234590,0
10100,ENSP00000376176,0
191,ENSP00000337949,1
41987,ENSP00000258145,0
2801,ENSP00000377311,0
2170,ENSP00000369960,1
753,ENSP00000280700,1
3198,ENSP00000341390,0
55283,ENSP00000327251,0
3689,ENSP00000355192,0
4639,ENSP00000274353,0
1117,ENSP00000311469,1
3202,ENSP00000316121,0
23994,ENSP00000321845,1
129806,ENSP00000362344,0
4919,ENSP00000295087,0
3961,ENSP00000269980,0
5152,ENSP00000278742,0
104973,ENSP00000405965,0
1117,ENSP00000359998,1
593,ENSP00000305974,0
119,ENSP00000377914,0
681,ENSP00000249041,1
23930,ENSP00000273064,1
5202,ENSP00000307822,1
2561,ENSP00000316786,1
5677,ENSP00000332369,0
43815,ENSP00000219833,1
75919,ENSP00000260985,0
445354,ENSP00000261208,0
23930,ENSP00000327255,1
2119,ENSP00000368727,0
3869,ENSP00000352900,0
8230,ENSP00000324270,1
718,ENSP00000364475,1
753,ENSP00000376076,1
2311,ENSP00000290866,1
1548952,ENSP00000206249,1
6018,ENSP00000396308,0
457954,ENSP00000354387,1
2354,ENSP00000354193,1
9799888,ENSP00000221466,0
5282279,ENSP00000155840,1
934,ENSP00000263182,1
774,ENSP00000363596,1
130214,ENSP00000266659,0
5478,ENSP00000348831,0
54687,ENSP00000359998,0
439302,ENSP00000297991,0
444,ENSP00000320147,0
10836,ENSP00000280155,1
392622,ENSP00000337915,1
6005,ENSP00000386069,1
3559,ENSP00000277010,1
3304,ENSP00000363676,0
55283,ENSP00000367309,0
5870,ENSP00000361141,0
1821,ENSP00000356425,0
23994,ENSP00000318820,1
5281707,ENSP00000315011,0
3915,ENSP00000220584,0
1051,ENSP00000310978,1
3016,ENSP00000363046,0
5287844,ENSP00000363115,1
5515,ENSP00000338018,1
667467,ENSP00000373169,1
3748,ENSP00000356729,0
5253,ENSP00000260443,0
187,ENSP00000372750,1
16133831,ENSP00000358730,0
456201,ENSP00000356022,0
4629,ENSP00000259271,0
5408,ENSP00000360317,1
702,ENSP00000295101,1
5991,ENSP00000228434,0
25077992,ENSP00000385834,0
393599,ENSP00000396308,1
3168,ENSP00000310935,0
23994,ENSP00000322788,1
1089,ENSP00000263980,0
5281707,ENSP00000313681,0
2761,ENSP00000352839,0
6422124,ENSP00000314606,0
5662,ENSP00000363621,0
445154,ENSP00000337915,1
3449,ENSP00000363822,0
338,ENSP00000368727,1
876,ENSP00000410732,0
5202,ENSP00000357301,1
5530,ENSP00000288699,0
71307,ENSP00000302232,0
3042,ENSP00000314151,0
610,ENSP00000403852,0
4495,ENSP00000333685,0
2308,ENSP00000333568,0
4991,ENSP00000272902,0
134780,ENSP00000296046,0
2689,ENSP00000377311,0
4829,ENSP00000367309,1
784,ENSP00000316339,1
3911,ENSP00000300605,0
5284603,ENSP00000263753,0
68613,ENSP00000299847,0
4883,ENSP00000360939,0
5311067,ENSP00000336764,0
71120,ENSP00000351035,0
36314,ENSP00000245552,0
3100,ENSP00000256078,0
155346,ENSP00000229239,0
216239,ENSP00000366244,1
3177,ENSP00000258042,0
2170,ENSP00000354859,1
49836058,ENSP00000360290,0
160,ENSP00000302846,1
753,ENSP00000250416,1
5372,ENSP00000349467,1
6215,ENSP00000366662,0
5352,ENSP00000268097,0
3290,ENSP00000361965,0
4456,ENSP00000234454,0
5280360,ENSP00000280155,1
5994,ENSP00000457031,0
610479,ENSP00000363229,0
5029,ENSP00000379140,0
5538,ENSP00000237014,1
4055,ENSP00000420269,0
68844,ENSP00000309649,1
3386,ENSP00000358511,1
312,ENSP00000362773,1
55482,ENSP00000341390,0
5202,ENSP00000293897,1
192314,ENSP00000312262,0
54687,ENSP00000360991,0
3739,ENSP00000275216,0
5282280,ENSP00000384665,1
4993,ENSP00000338072,0
47318,ENSP00000342007,1
10182969,ENSP00000340684,0
65750,ENSP00000386456,0
5359272,ENSP00000265572,1
9871419,ENSP00000258418,0
2239,ENSP00000408860,0
439260,ENSP00000451605,1
2726,ENSP00000265724,1
5626,ENSP00000354511,0
3696,ENSP00000334145,0
3394,ENSP00000357204,0
387316,ENSP00000260118,0
6917655,ENSP00000295087,0
3391,ENSP00000384490,0
3869,ENSP00000263182,0
35370,ENSP00000252945,0
1809,ENSP00000371221,0
39042,ENSP00000268097,0
5572,ENSP00000409007,0
124886,ENSP00000420168,1
60961,ENSP00000261900,1
3278,ENSP00000292513,0
23994,ENSP00000255030,1
2729,ENSP00000363019,0
1744,ENSP00000297261,0
6917908,ENSP00000343925,0
124087,ENSP00000320709,0
610,ENSP00000329684,0
72172,ENSP00000284811,0
37464,ENSP00000337915,0
122296,ENSP00000315644,0
312,ENSP00000272902,1
5012,ENSP00000304283,0
3696,ENSP00000466799,0
753,ENSP00000354532,1
838,ENSP00000359719,0
5073,ENSP00000280155,1
6436,ENSP00000367959,0
5376,ENSP00000221859,0
312,ENSP00000215773,1
5304,ENSP00000419027,0
16362,ENSP00000351410,0
838,ENSP00000363596,1
1229,ENSP00000262719,0
5202,ENSP00000255008,1
5352,ENSP00000363676,0
945,ENSP00000261267,0
3413,ENSP00000342850,0
3450,ENSP00000373674,0
1117,ENSP00000321334,1
2909,ENSP00000355279,0
2580,ENSP00000234111,0
753,ENSP00000303830,1
5280360,ENSP00000306129,1
55245,ENSP00000337915,1
5245,ENSP00000368645,0
5310985,ENSP00000342070,0
298,ENSP00000358730,1
11804285,ENSP00000262554,0
5268,ENSP00000385834,0
23930,ENSP00000418447,1
4430,ENSP00000332296,0
753,ENSP00000385834,1
3310,ENSP00000356713,0
1548992,ENSP00000366506,1
1117,ENSP00000353720,1
25201794,ENSP00000344822,0
121850,ENSP00000365926,0
171548,ENSP00000275525,0
23994,ENSP00000262306,1
4635,ENSP00000217133,0
5040,ENSP00000412673,0
158795,ENSP00000370526,0
1613,ENSP00000243167,0
39468,ENSP00000320709,0
493570,ENSP00000374219,0
3562,ENSP00000359643,0
2230,ENSP00000361151,0
5284595,ENSP00000378394,0
216239,ENSP00000240100,0
126046,ENSP00000290866,1
5076,ENSP00000451605,0
134018,ENSP00000306490,0
2750,ENSP00000329684,0
443119,ENSP00000379680,0
2550,ENSP00000303424,0
5593,ENSP00000319730,0
44093,ENSP00000010404,0
1134,ENSP00000313432,0
3559,ENSP00000380247,1
34231,ENSP00000342007,0
2524,ENSP00000436318,0
2714,ENSP00000363822,1
951,ENSP00000358730,1
445643,ENSP00000286301,0
3981,ENSP00000216194,0
122220,ENSP00000216774,0
723,ENSP00000313007,0
312,ENSP00000360519,1
25197,ENSP00000361845,0
85,ENSP00000419970,0
23991,ENSP00000254663,0
298,ENSP00000293897,1
312,ENSP00000363621,1
55283,ENSP00000356410,0
2909,ENSP00000256958,1
1795,ENSP00000364475,0
54459,ENSP00000280155,1
3602,ENSP00000356438,0
3954,ENSP00000353007,0
5202,ENSP00000292303,1
5287620,ENSP00000272102,1
6918365,ENSP00000324270,0
774,ENSP00000358730,1
1117,ENSP00000319730,1
2462,ENSP00000237858,0
123686,ENSP00000356671,0
13804,ENSP00000368439,1
2216,ENSP00000295087,0
2914,ENSP00000325548,0
3220,ENSP00000308750,0
637542,ENSP00000311572,1
753,ENSP00000265016,1
5775,ENSP00000262186,1
2676,ENSP00000280346,0
3100,ENSP00000369141,0
439176,ENSP00000023897,0
4595,ENSP00000358963,1
135018,ENSP00000364709,0
3696,ENSP00000261326,0
150310,ENSP00000363205,0
6741,ENSP00000353224,0
4926,ENSP00000373169,1
4865,ENSP00000261007,0
774,ENSP00000258400,1
934,ENSP00000218721,0
10836,ENSP00000380252,0
446155,ENSP00000366488,0
593,ENSP00000442050,1
860,ENSP00000354961,0
119058,ENSP00000209929,0
4991,ENSP00000261783,0
5284596,ENSP00000348831,0
64715,ENSP00000367851,0
4066,ENSP00000336630,0
5324345,ENSP00000265174,0
3396,ENSP00000328173,0
5149020,ENSP00000265572,1
107772,ENSP00000348918,0
122296,ENSP00000364709,1
42955,ENSP00000364801,0
753,ENSP00000254066,1
5280723,ENSP00000245457,1
5381,ENSP00000302967,0
108220,ENSP00000352401,0
4630,ENSP00000298556,0
2165,ENSP00000360317,1
774,ENSP00000281806,1
123015,ENSP00000277120,1
5281708,ENSP00000292427,0
3602,ENSP00000262352,0
123878,ENSP00000302111,0
4196,ENSP00000332659,0
681,ENSP00000304501,1
5588,ENSP00000365773,0
2088,ENSP00000313681,0
5372,ENSP00000323867,0
5280360,ENSP00000217270,1
253,ENSP00000222553,0
108182,ENSP00000255030,0
1541,ENSP00000359643,1
60852,ENSP00000331912,0
3016,ENSP00000284440,0
402,ENSP00000386541,0
2968,ENSP00000223129,0
9865515,ENSP00000364114,0
2325,ENSP00000245206,0
5363,ENSP00000353820,0
444008,ENSP00000261751,0
444732,ENSP00000381412,0
5280360,ENSP00000292303,1
2239,ENSP00000216194,0
312,ENSP00000357204,1
92100,ENSP00000329357,0
5281707,ENSP00000230671,0
4666,ENSP00000432481,0
2244,ENSP00000286648,0
2580,ENSP00000298171,0
5485199,ENSP00000305974,0
156391,ENSP00000295897,1
5282280,ENSP00000257254,1
5761,ENSP00000371067,0
16132139,ENSP00000221742,0
5280360,ENSP00000357301,1
4624,ENSP00000411593,0
5533,ENSP00000375893,0
4100,ENSP00000367608,1
5280363,ENSP00000307445,1
501640,ENSP00000335544,0
74989,ENSP00000326219,0
107994,ENSP00000290866,1
4615,ENSP00000253122,0
4306515,ENSP00000356438,1
2732,ENSP00000349320,0
5452,ENSP00000319984,1
2801,ENSP00000226730,0
5255,ENSP00000363115,0
2430,ENSP00000363965,0
753,ENSP00000266971,1
9803852,ENSP00000268251,0
2724385,ENSP00000361021,0
6005,ENSP00000368766,1
28517,ENSP00000267085,0
444033,ENSP00000245552,0
16135499,ENSP00000352839,0
158,ENSP00000245457,1
5582,ENSP00000360968,0
710,ENSP00000287022,1
5401,ENSP00000366416,1
4402,ENSP00000297494,0
3559,ENSP00000273064,0
2538,ENSP00000229416,0
440120,ENSP00000362576,0
4160,ENSP00000302564,0
4659568,ENSP00000260118,0
1117,ENSP00000364898,1
16362,ENSP00000380247,1
5267,ENSP00000419027,0
16078,ENSP00000358511,1
122024,ENSP00000356022,0
753,ENSP00000372191,1
2244,ENSP00000346827,0
745,ENSP00000315644,1
3985498,ENSP00000238379,0
4631609,ENSP00000419692,0
387316,ENSP00000220584,0
4748,ENSP00000316244,1
311,ENSP00000272317,1
2662,ENSP00000275525,0
424,ENSP00000222482,1
200,ENSP00000262352,0
160,ENSP00000258042,1
4748,ENSP00000325074,0
5267,ENSP00000385638,0
68740,ENSP00000241453,0
1329,ENSP00000336630,1
107807,ENSP00000379839,0
1205,ENSP00000325120,0
5035,ENSP00000406220,0
216239,ENSP00000428982,1
710,ENSP00000359211,1
5512,ENSP00000319984,1
3384,ENSP00000350911,0
6918837,ENSP00000302967,1
941361,ENSP00000272190,0
41376,ENSP00000357986,0
6918537,ENSP00000257248,0
3639,ENSP00000290354,0
9801640,ENSP00000398655,0
5870,ENSP00000363046,0
753,ENSP00000382021,1
107640,ENSP00000265689,0
5936,ENSP00000423822,0
252716,ENSP00000358730,1
4078,ENSP00000372750,1
23925,ENSP00000277480,1
60961,ENSP00000392709,0
11556427,ENSP00000262187,0
54454,ENSP00000385834,0
4456,ENSP00000229135,0
6305,ENSP00000332816,0
5311507,ENSP00000280155,1
3672,ENSP00000258400,0
23925,ENSP00000240139,1
5076,ENSP00000222982,1
312,ENSP00000284981,1
4493,ENSP00000368727,0
4419,ENSP00000321821,0
5589,ENSP00000362576,0
3671,ENSP00000345502,1
657378,ENSP00000227507,0
2949,ENSP00000356094,0
72172,ENSP00000317721,0
4919,ENSP00000354532,0
4534,ENSP00000376177,0
74989,ENSP00000337335,0
5001396,ENSP00000360290,0
121850,ENSP00000360991,0
23994,ENSP00000238018,1
179837,ENSP00000244051,0
23994,ENSP00000316854,1
312,ENSP00000298248,1
723,ENSP00000364649,1
3295,ENSP00000267568,0
13342,ENSP00000361699,0
60787,ENSP00000323071,0
60961,ENSP00000451605,1
444732,ENSP00000362674,1
71739,ENSP00000253004,0
322,ENSP00000431418,0
6230,ENSP00000321334,0
10635,ENSP00000261900,0
4196,ENSP00000216330,0
5281888,ENSP00000362401,1
2131,ENSP00000303575,0
501640,ENSP00000297494,0
119058,ENSP00000366416,0
5775,ENSP00000231509,0
692,ENSP00000298942,0
9782,ENSP00000264047,0
5203,ENSP00000417052,0
4932,ENSP00000369519,0
753,ENSP00000343027,1
60961,ENSP00000388107,0
4369359,ENSP00000249396,0
774,ENSP00000352839,1
45272686,ENSP00000363832,0
5284596,ENSP00000265572,1
5253,ENSP00000263464,0
49836058,ENSP00000361850,0
1117,ENSP00000262407,1
4635,ENSP00000354822,0
5278,ENSP00000320709,0
702,ENSP00000061240,0
6918638,ENSP00000302967,1
4114,ENSP00000301141,1
60785,ENSP00000409007,0
119,ENSP00000259271,1
4894,ENSP00000341390,1
5311023,ENSP00000368752,0
1440,ENSP00000344460,0
6918537,ENSP00000297988,0
5360696,ENSP00000353820,1
19,ENSP00000451560,0
10267,ENSP00000353731,0
3749,ENSP00000367102,0
16960,ENSP00000263126,0
2685,ENSP00000381412,0
2676,ENSP00000287936,1
4425,ENSP00000306866,0
445420,ENSP00000254301,0
3954,ENSP00000265572,1
2578,ENSP00000431418,0
33624,ENSP00000372750,0
3648,ENSP00000378323,0
54693559,ENSP00000273430,1
60852,ENSP00000323867,0
679,ENSP00000261890,0
3823,ENSP00000315774,0
1688,ENSP00000367615,0
122187,ENSP00000311291,0
3377,ENSP00000061240,0
1548943,ENSP00000342007,1
68740,ENSP00000328973,0
5280360,ENSP00000303686,1
5074,ENSP00000315212,0
4782,ENSP00000369960,1
4736,ENSP00000000233,0
3202,ENSP00000327255,0
6437850,ENSP00000299727,0
91649,ENSP00000273064,0
6450551,ENSP00000361642,0
5280363,ENSP00000386284,0
444795,ENSP00000377947,1
3158,ENSP00000385638,0
610,ENSP00000005178,0
439260,ENSP00000234961,1
31307,ENSP00000306397,0
3310,ENSP00000365926,0
91605,ENSP00000358107,0
3198,ENSP00000350491,0
1662,ENSP00000297258,0
5352624,ENSP00000278407,0
596,ENSP00000364212,1
36920,ENSP00000232607,0
5282280,ENSP00000381740,0
38409,ENSP00000447378,0
1117,ENSP00000362115,1
123878,ENSP00000335261,0
4980,ENSP00000321656,0
177236,ENSP00000315774,0
27400,ENSP00000276198,1
5504,ENSP00000265052,0
45272686,ENSP00000356671,0
644345,ENSP00000373674,0
4495,ENSP00000333534,0
1117,ENSP00000304915,1
107971,ENSP00000289004,0
9880,ENSP00000368752,0
936,ENSP00000358525,0
3017,ENSP00000335084,0
1117,ENSP00000240327,1
5287844,ENSP00000336528,0
838,ENSP00000357301,1
679,ENSP00000305714,1
312,ENSP00000270776,1
643976,ENSP00000367934,1
439260,ENSP00000305372,1
3396,ENSP00000311032,0
5281707,ENSP00000335620,0
54459,ENSP00000376176,0
3168,ENSP00000266517,0
1224,ENSP00000367959,1
72172,ENSP00000359899,0
4528,ENSP00000265174,0
5078,ENSP00000307766,1
5544,ENSP00000216336,0
5283454,ENSP00000301891,0
4042,ENSP00000370129,1
5074,ENSP00000368766,1
2719,ENSP00000222553,0
2987,ENSP00000332296,0
4636,ENSP00000368766,1
4171,ENSP00000280700,0
1117,ENSP00000398632,1
158,ENSP00000359793,1
4595,ENSP00000357301,0
60843,ENSP00000363019,0
8646,ENSP00000324856,0
3883,ENSP00000419970,0
34359,ENSP00000306866,0
26757,ENSP00000275300,0
5280363,ENSP00000258042,1
439176,ENSP00000221801,1
158,ENSP00000358511,1
5284569,ENSP00000420168,0
23994,ENSP00000273550,1
4659569,ENSP00000252996,0
4742,ENSP00000370213,0
4691,ENSP00000261707,1
62924,ENSP00000302150,0
312,ENSP00000306606,1
107985,ENSP00000265294,0
1541,ENSP00000384665,1
15897,ENSP00000412237,0
2375,ENSP00000269466,0
60857,ENSP00000324856,0
445354,ENSP00000360519,1
4184,ENSP00000258400,1
2538,ENSP00000352835,0
11301,ENSP00000386069,0
191,ENSP00000249041,1
5452,ENSP00000353165,0
5095,ENSP00000254663,0
94701,ENSP00000222382,0
3449,ENSP00000260118,0
147912,ENSP00000307766,0
5454,ENSP00000263464,0
692,ENSP00000455607,0
5203,ENSP00000261707,1
51550,ENSP00000199280,0
114903,ENSP00000363205,0
3696,ENSP00000466420,0
129806,ENSP00000287936,1
4066,ENSP00000417980,0
312,ENSP00000339260,1
5361092,ENSP00000363641,0
5360696,ENSP00000331602,0
6918537,ENSP00000353731,1
5731,ENSP00000358963,1
702,ENSP00000357067,1
5267,ENSP00000362674,0
2550,ENSP00000298171,0
148121,ENSP00000381740,0
1983,ENSP00000354612,1
60787,ENSP00000226299,0
838,ENSP00000353915,1
443872,ENSP00000328547,0
2783,ENSP00000264832,0
745,ENSP00000322909,0
4436,ENSP00000252945,0
9578572,ENSP00000295055,0
1541,ENSP00000358730,1
3998,ENSP00000250559,0
5454,ENSP00000380247,1
9651,ENSP00000332659,0
10096344,ENSP00000310701,0
322,ENSP00000282957,0
864,ENSP00000402084,0
5253,ENSP00000340330,0
